"","species","mean_wal_score"
"475","Astragalus_canadensis",0.0258368444643658
"476","Astragalus_ceramicus",0.0247361853832442
"477","Astragalus_chinensis",0.0926333333333333
"478","Astragalus_chlorostachys",0.435264705882353
"479","Astragalus_chrysopterus",0.263939393939394
"480","Astragalus_cicer",0.0728128615175234
"481","Astragalus_crassicarpus",0.0235827586206897
"482","Astragalus_crenatus",0.242247933884297
"483","Astragalus_danicus",0.0644452323194634
"484","Astragalus_densiflorus",0.234744186046512
"485","Astragalus_drummondii",0.0278962765957447
"486","Astragalus_echinatus",0.146663522012579
"487","Astragalus_eucosmus",0.0197283464566929
"488","Astragalus_falcatus",0.101616
"489","Astragalus_filicaulis",0.42977
"490","Astragalus_flexuosus",0.0235413711583924
"491","Astragalus_frigidus",0.0739162105263158
"492","Astragalus_galegiformis",0.18468085106383
"493","Astragalus_gambelianus",0.0437441860465116
"494","Astragalus_geminiflorus",0.364
"495","Astragalus_glaux",0.152549822064057
"496","Astragalus_glycyphyllos",0.0984548487418702
"497","Astragalus_gracilis",0.0212970149253731
"498","Astragalus_graveolens",0.468705882352941
"499","Astragalus_hamosus",0.152686334610474
"500","Astragalus_himalayanus",0.444545454545455
"501","Astragalus_hispidulus",0.0671060606060606
"502","Astragalus_hornii",0.0697333333333333
"503","Astragalus_humistratus",0.0286060606060606
"504","Astragalus_hypogaeus",0.106125
"505","Astragalus_hypoglottis",0.127830263157895
"506","Astragalus_kentrophyta",0.0284803493449782
"507","Astragalus_lehmannianus",0.267551724137931
"508","Astragalus_lentiginosus",0.0337163172288058
"509","Astragalus_leontinus",0.089672131147541
"510","Astragalus_leptocarpus",0.0379735099337748
"511","Astragalus_leucocephalus",0.434243243243243
"512","Astragalus_lindheimeri",0.037668202764977
"513","Astragalus_lonchocarpus",0.0245569620253164
"514","Astragalus_miniatus",0.137081081081081
"515","Astragalus_miser",0.0272520683949256
"516","Astragalus_missouriensis",0.0279002403846154
"517","Astragalus_mollissimus",0.0407182974989028
"518","Astragalus_monspessulanus",0.127579326685753
"519","Astragalus_neglectus",0.01875
"520","Astragalus_nothoxys",0.0400818181818182
"521","Astragalus_nuttallianus",0.0393118143459915
"522","Astragalus_nuttallii",0.043
"523","Astragalus_onobrychis",0.0925614128980467
"524","Astragalus_oxyglottis",0.047
"525","Astragalus_palmeri",0.065102564102564
"526","Astragalus_pectinatus",0.0267090395480226
"527","Astragalus_pehuenches",0.069925
"528","Astragalus_ponticus",0.148609090909091
"529","Astragalus_purshii",0.02970675944334
"530","Astragalus_robbinsii",0.0225287081339713
"531","Astragalus_scaberrimus",0.128423487544484
"532","Astragalus_sempervirens",0.121517866129844
"533","Astragalus_sesameus",0.151525433526011
