"","species","intrdcd.x","mean_wal_score"
"532","Astragalus_atropilosulus",0,0.183875
"533","Astragalus_australis",0,0.0987922283901665
"534","Astragalus_beckwithii",0,0.0259554730983302
"535","Astragalus_bisulcatus",0,0.0256138072453862
"536","Astragalus_bisulcatus",1,0.043
"537","Astragalus_bodinii",0,0.0147702702702703
"538","Astragalus_boeticus",0,0.113671497584541
"539","Astragalus_boeticus",1,0.074
"540","Astragalus_bolanderi",0,0.043
"541","Astragalus_brachycarpus",0,0.190051282051282
"542","Astragalus_brazoensis",0,0.039
"543","Astragalus_callichrous",0,0.0647940074906367
"544","Astragalus_canadensis",0,0.0258368444643658
"545","Astragalus_ceramicus",0,0.0247361853832442
"546","Astragalus_chinensis",0,0.0926333333333333
"547","Astragalus_chlorostachys",0,0.435264705882353
"548","Astragalus_chrysopterus",0,0.263939393939394
"549","Astragalus_cicer",0,0.0766999628666914
"550","Astragalus_cicer",1,0.030260162601626
"551","Astragalus_crassicarpus",0,0.0235827586206897
"552","Astragalus_crenatus",0,0.242247933884297
"553","Astragalus_danicus",0,0.0644452323194634
"554","Astragalus_densiflorus",0,0.234744186046512
"555","Astragalus_drummondii",0,0.0278962765957447
"556","Astragalus_echinatus",0,0.146663522012579
"557","Astragalus_eucosmus",0,0.0197283464566929
"558","Astragalus_falcatus",0,0.116291262135922
"559","Astragalus_falcatus",1,0.0329090909090909
"560","Astragalus_filicaulis",0,0.42977
"561","Astragalus_flexuosus",0,0.0235413711583924
"562","Astragalus_frigidus",0,0.0739162105263158
"563","Astragalus_galegiformis",0,0.18468085106383
"564","Astragalus_gambelianus",0,0.0437441860465116
"565","Astragalus_geminiflorus",0,0.364
"566","Astragalus_glaux",0,0.152549822064057
"567","Astragalus_glycyphyllos",0,0.0984631567041775
"568","Astragalus_glycyphyllos",1,0.025
"569","Astragalus_gracilis",0,0.0212970149253731
"570","Astragalus_graveolens",0,0.468705882352941
"571","Astragalus_hamosus",0,0.154820639459319
"572","Astragalus_hamosus",1,0.0319411764705882
"573","Astragalus_himalayanus",0,0.444545454545455
"574","Astragalus_hispidulus",0,0.0671060606060606
"575","Astragalus_hornii",0,0.0697333333333333
"576","Astragalus_humistratus",0,0.0286060606060606
"577","Astragalus_hypogaeus",0,0.106125
"578","Astragalus_hypoglottis",0,0.127830263157895
"579","Astragalus_kentrophyta",0,0.0284803493449782
"580","Astragalus_lehmannianus",0,0.267551724137931
"581","Astragalus_lentiginosus",0,0.0337163172288058
"582","Astragalus_leontinus",0,0.089672131147541
"583","Astragalus_leptocarpus",0,0.0379735099337748
"584","Astragalus_leucocephalus",0,0.434243243243243
"585","Astragalus_lindheimeri",0,0.037668202764977
"586","Astragalus_lonchocarpus",0,0.0245569620253164
"587","Astragalus_miniatus",0,0.137081081081081
"588","Astragalus_miser",0,0.0272520683949256
"589","Astragalus_missouriensis",0,0.0279002403846154
"590","Astragalus_mollissimus",0,0.0407182974989028
"591","Astragalus_monspessulanus",0,0.127579326685753
"592","Astragalus_neglectus",0,0.01875
"593","Astragalus_nothoxys",0,0.0400818181818182
"594","Astragalus_nuttallianus",0,0.0393118143459915
"595","Astragalus_nuttallii",0,0.043
"596","Astragalus_onobrychis",0,0.0925772751750136
"597","Astragalus_onobrychis",1,0.09
"598","Astragalus_oxyglottis",0,0.047
"599","Astragalus_palmeri",0,0.065102564102564
"600","Astragalus_pectinatus",0,0.0267090395480226
"601","Astragalus_pehuenches",0,0.069925
