Species count,Family,Genus,Species,Common Name,Plant Type,Geographic Location,Nectary Location,Ecological Study,Reference,Notes,genus species,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,fragrantissimum,,,,"leaf blade, leaf petiole, leaf bud, stem",,Blüthgen et al. 2000,,Philodendron fragrantissimum,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,lindenii,,,,base of cataphyll,,Zimmermann 1932;Elias 1983,,Philodendron lindenii,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,sp. 2,,,Colombia,,,Ramírez et al. 2001,presumably different from the easily recognized species of Zimmermann or Blüthgen et al. or Ramírez et al. would have identifed it; don't know if these are one species or four: counted it as three.,Philodendron sp. 2,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,sp. nov.,,,Colombia,,,Ramírez et al. 2001,presumably different from the easily recognized species of Zimmermann or Blüthgen et al. or Ramírez et al. would have identifed it; don't know if these are one species or four: counted it as three.,Philodendron sp. nov.,,,,,,,,,,,,,,,,
1,Araceae,Philodendron,unidentified species,,,Amazon,"leaf blade, leaf petiole, leaf bud, stem",,>Zimmermann 1932; Blüthgen et al. 2000;,presumably different from the easily recognized species of Zimmermann or Blüthgen et al. or Ramírez et al. would have identifed it; don't know if these are one species or four: counted it as three.,Philodendron unidentified species,,,,,,,,,,,,,,,,
1,Aristolochiaceae,Aristolochia,sp.,,,Costa Rica,,,"P. A. Opler, unpub.",,Aristolochia sp.,,,,,,,,,,,,,,,,
1,Asparagaceae,Asparagus,acutifolius,,,,cataphylls,,Zimmermann 1932; Elias 1983,,Asparagus acutifolius,,,,,,,,,,,,,,,,
1,Asparagaceae,Asparagus,prob.schoberloides,,,"Amur Botanical Zone, Russia",stem bracts,,Pemberton 1998,,Asparagus prob.schoberloides,,,,,,,,,,,,,,,,
1,Asparagaceae,Dracaena,reflexa,,herb,,"underside of lamina, calyx",,Frey-Wyssling and Hausermann 1950,synPleomele,Dracaena reflexa,,,,,,,,,,,,,,,,
1,Asparagaceae,Dracaena,sp.,,herb,,,,Bentley 1977,,Dracaena sp.,,,,,,,,,,,,,,,,
3,Asparagaceae,Sansevieria,3 unidentified species,,,,floral bracts,,,,Sansevieria 3 unidentified species,,,,,,,,,,,,,,,,
